section,person,topic,subtopic
#aaronmarcus,Aaron Marcus,Creativity and Artistic Integration,Digital Resurrection
#aaronmarcus,Aaron Marcus,Artificial Intelligence and Generativity,Generative Art
#aaronmarcus,Aaron Marcus,Creativity and Artistic Integration,Interactivity
#aaronmarcus,Aaron Marcus,Creativity and Artistic Integration,Movie Creation
#aaronmarcus,Aaron Marcus,Creativity and Artistic Integration,Narrative Construction
#alvyraysmith,Alvy Ray Smith,Digital Culture and Future,Digital Future
#alvyraysmith,Alvy Ray Smith,Technological Evolution and Innovation,Innovation
#alvyraysmith,Alvy Ray Smith,Creativity and Artistic Integration,Making
#alvyraysmith,Alvy Ray Smith,Digital Culture and Future,Pixar
#alvyraysmith,Alvy Ray Smith,Digital Culture and Future,SIGGRAPH
#annickbureaud,Annick Bureaud,Artificial Intelligence and Generativity,Cognition
#annickbureaud,Annick Bureaud,Technological Evolution and Innovation,Jacquard Loom
#annickbureaud,Annick Bureaud,Creativity and Artistic Integration,Music machines
#annickbureaud,Annick Bureaud,Technological Evolution and Innovation,Tactile
#annickbureaud,Annick Bureaud,Technological Evolution and Innovation,Technology
#behnazfarahi,Behnaz Farahi,Socio-political and Environmental Themes,Challenge Injustice
#behnazfarahi,Behnaz Farahi,Technological Evolution and Innovation,Computation
#behnazfarahi,Behnaz Farahi,Technological Evolution and Innovation,Emerging Technologies
#behnazfarahi,Behnaz Farahi,Digital Culture and Future,SIGGRAPH
#behnazfarahi,Behnaz Farahi,Socio-political and Environmental Themes,Socio-political
#billseaman,Bill Seaman,Artificial Intelligence and Generativity,And Robotics
#billseaman,Bill Seaman,Nature and Biomimicry,Biomimetics
#billseaman,Bill Seaman,Socio-political and Environmental Themes,Health of the planet
#billseaman,Bill Seaman,Socio-political and Environmental Themes,Systems Thinking
#billseaman,Bill Seaman,Digital Culture and Future,Transdisciplinarity
#brendalaurel,Brenda Laurel,Technological Evolution and Innovation,Computer Graphics
#brendalaurel,Brenda Laurel,Nature and Biomimicry,Nature
#brendalaurel,Brenda Laurel,Digital Culture and Future,SIGGRAPH
#brendalaurel,Brenda Laurel,Technological Evolution and Innovation,Technology
#brendalaurel,Brenda Laurel,Nature and Biomimicry,Waving Grass
#sommerer,Christa Sommerer & Laurent Mignonneau,Creativity and Artistic Integration,Interactivity
