s_ID,s_Tag,sub_ID,sub_Title,Contributors,Abstract,Keywords,Topic,Link
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_101,Balboa Park Alive!: Exploring Biodiversity Through Mobile Augmented Reality,"Ying Choon Wu, Biayna Bogosian, Jacob Yenney, Patrick Coleman, Daniel Jalali, Joshua Pallag, Akshit Nassa, Thomas Sharkey","Balboa Park Alive! is an AR mobile app that offers immersive and interactive experiences centered on local biodiversity in San Diego's Balboa Park. Designed for families, it encourages conservation and environmental stewardship through activities such as cultivating native plants in the Zoro Garden, releasing butterflies, and simulating pollinator behavior.","activities, balboa, park",Extended Reality,https://s2024.conference-program.org/presentation/?id=appy_101&sess=sess210
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_103,Paint the World,Elliot Dickman,"Paint the World is an AR painting application that uses a phone as a physical paintbrush to paint AR scenes. Moving your phone around in the real world leaves a digital paint stroke in AR, similar to an AR version of Tilt Brush that doesn't require any additional hardware.","ar, paint, world",General Research,https://s2024.conference-program.org/presentation/?id=appy_103&sess=sess210
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_104,Conversa AI: A Platform for AI Interviewing and Authentic Conversation,"Val Jones, Glenn Harless, Radoslav Petkov, Stephen Smith","Generative language models have rapidly changed how we explore public knowledge, yet these methods struggle to synthesize authentic individual experiences. We present an authoring platform for personalized AI. We use AI-driven interviewing to gather human expertise with real-time guidance and create interactive videos and presentations with a natural language interface.","ai, language, time",General Research,https://s2024.conference-program.org/presentation/?id=appy_104&sess=sess210
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_105,VolumeMatic and the AI3D.foundation Benchmark Card for 3D Generative AI: Text to spatial computing volume app with generated content,Yosun Chang,What if you can chat to automagically create your own 3D interactive software for mixed reality? We present a visionOS app that lets anyone make their own 3D volume apps for Vision Pro! We introduce a volume-snapable chat interface with context-aware widgets to help users express better in NLP code.,"3d, chat, volume",Applications,https://s2024.conference-program.org/presentation/?id=appy_105&sess=sess210
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_106,Bird Listening: An Application to Experience the Call and Beauty of Wild Birds,Masatoshi Hamanaka,"Bird listening is an application to find and appreciate 10 types of wild birds by using spatial acoustic bird sounds. When the user faces the direction of a bird's call and holds a digital device in front of them, the bird appears through the leaves of the tree.","10, bird, user",Applications,https://s2024.conference-program.org/presentation/?id=appy_106&sess=sess210
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_107,AI3D Desktop: Creating 3D Using AI in Skeuomorphic XR,Yosun Chang,We explore using a 3D skeuomorphic desktop interface in iteratively generating your AI3D model in spatial computing on Vision Pro. Have precision in creating your AI3D model from perfecting an image — whether imported or AI-designed. We utilize LCM models for quick iterations for both text2image and image2image.,"3d, ai3d, model",Extended Reality,https://s2024.conference-program.org/presentation/?id=appy_107&sess=sess210
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_108,Napkinmatic Ubiquitous Pocket AGI: Utility-context-sensitive 3D AR XR HCI for Vision to LLM,Yosun Chang,This app lets you connect your LLM to the real world via both converting vision to semantic data to directly interfacing with your vision-based LLM and loading context-sensitive menus. Example: Scan any diagram to be able to understand it and to load its corresponding 3D model (or AI3D generate it).,"3d, llm, vision",Extended Reality,https://s2024.conference-program.org/presentation/?id=appy_108&sess=sess210
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_110,The Future Is Here: Verbal Interaction With NPCs on Mobile.,"Roberto Lopez Mendez, Sicong Li, Hong Ji Liu",This demo showcases the future of user interaction in gaming: verbal communication. The main character interacts verbally with the user using a language model-based brain and performs actions using an MLP-based brain trained with Reinforcement Learning. Implemented on Unity. Everything running locally on mobile.,"based, brain, using",General Research,https://s2024.conference-program.org/presentation/?id=appy_110&sess=sess210
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_114,CoCapture: Group Photo App Without Assistants,"Binlin Feng, Keyi Zeng, Mingyang Su, Wen Ku, Feifei Wu, Xiu Li","With the CoCapture app, you may capture attractive group photos with friends, landscapes, past selves, or loved ones you can't meet while traveling without seeking strangers for assistance, making every moment more valuable.","app, selves, strangers",Applications,https://s2024.conference-program.org/presentation/?id=appy_114&sess=sess210
sess210,"Full Conference, Full Conference Supporter, Experience, Exhibitor Full Conference, Exhibitor Experience",appy_116,Singapore GeAR,"Takehiko Nagakura, Han Tu, Wenzhe Peng, Chili Cheng, Jenny Zhang, Xiaoyun Zhang, Woongki Sung, Katsuyoshi Ishikawa, Shineng Luke Wu, Jia Hui Joey Ong, Nobuo Iwashita, Hisakata Kobayashi","The GEAR.sg App displays the 3D models of The GEAR, recently built research lab in Singapore. Using the smartphone camera, the app presents the building's models and on-site photos on AR picture cards, which illustrate floor plans and allow users to move, flip, and combine them with the virtual models.","app, gear, models",General Research,https://s2024.conference-program.org/presentation/?id=appy_116&sess=sess210
